,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-20098085439.6,-240681.27393,-9.17426108333e+19,-240688.595108,-240167.763993,-1.5818581095e+19,-240688.595093,-238849.183215,-1.56061150812e+19,-240688.595138,-240415.807196,-2.72706244767e+19,-240688.595149,-240608.52035,-6.21065596828e+19,-240688.595141,-240440.781515,-2.05334442468e+19,-240688.595115,-239749.197117,-1.47043256566e+19,-240688.595138,-240295.228047,-1.82008306816e+19,-240688.595148,-240539.942425,-2.8648130006e+19,-240688.595141,-240260.01617,-1.36039758218e+19,-240688.595097,-238154.129118,-1.95342975833e+19,-240688.595146,-240415.420158,-1.45282418895e+19,-240688.595141,-240450.244637,-3.367077958e+19,-240688.595136,-239895.222103,-5.50134698677e+18,-240688.595035,-234628.01482,-9.33392487099e+18,-240688.595152,-240617.450551,-7.36059497157e+19,-240688.595138,-240514.913642,-4.42633012807e+19,-240688.595047,-234069.992787,-7.26158459977e+18,-240688.595098,-238360.082598,-1.78212802012e+19,-240688.595153,-240652.250915,-2.40695792784e+20,-240688.595147,-240566.49415,-4.88893377338e+19,-240688.594905,-224814.259848,-4.8495984197e+18,-240688.595118,-240071.860952,-1.60922713159e+19,-240688.595142,-240598.917191,-1.1732850192e+20,-240688.595149,-240499.587315,-1.53743089217e+19,-240688.594844,-225427.915085,-1.6927326209e+18,-240688.595088,-240168.239562,-1.00594284135e+19,-240688.595137,-240536.261976,-4.63171023257e+19,-240688.595141,-240146.304609,-1.36690127451e+19,-240688.59499,-230088.177651,-7.99551035937e+18,-240688.595146,-240582.141299,-4.44623632885e+19,-240688.595139,-240613.795902,-2.24700050545e+20,-240688.595134,-239862.890603,-8.15576367795e+18,-240688.594806
1,-16383832180.0,-240682.490611,-5.71680267014e+19,-240688.595107,-240328.879012,-2.81296955053e+19,-240688.595141,-240554.790398,-1.7640538049e+19,-240688.59513,-240439.601421,-1.92733730924e+19,-240688.595144,-240354.276569,-1.28286324169e+19,-240688.595099,-238654.245563,-1.31423085593e+19,-240688.595145,-240343.453989,-1.28882419995e+19,-240688.595131,-240348.536462,-3.12094226987e+19,-240688.595142,-240189.407216,-6.83905115722e+18,-240688.59504,-235597.144708,-8.43350129266e+18,-240688.59515,-240558.964053,-2.96656354204e+19,-240688.595134,-240512.306395,-5.07716754926e+19,-240688.595114,-238713.458806,-1.11453569559e+19,-240688.595029,-233467.939833,-1.42116124808e+19,-240688.595152,-240642.812358,-1.17054522735e+20,-240688.595139,-240565.046125,-7.22801784906e+19,-240688.595021,-232087.51144,-9.51174470356e+18,-240688.595089,-238039.591153,-1.83949479412e+19,-240688.595153,-240659.449295,-2.51564972546e+20,-240688.595148,-240582.963751,-5.06747950303e+19,-240688.594888,-224475.819287,-9.21995211933e+18,-240688.595119,-240152.805181,-5.85459272256e+18,-240688.595125,-240473.527589,-3.13207901811e+19,-240688.595148,-240426.480556,-1.344065361e+19,-240688.595006,-233632.727093,-5.25886618995e+18,-240688.595144,-240385.81569,-2.06694244843e+19,-240688.595132,-240499.836854,-4.00861983944e+19,-240688.595132,-239752.506824,-1.18642224061e+19,-240688.595005,-232155.179809,-1.23516139091e+19,-240688.595151,-240614.413162,-6.75239640511e+19,-240688.595135,-240552.275427,-6.80811055151e+19,-240688.595064,-235854.159867,-1.02077953418e+19,-240688.595055,-236258.305968,-1.77384165709e+19,-240688.595154
2,-14702797597.0,-240680.814929,-9.12960924573e+19,-240688.595121,-240541.503474,-1.13613887994e+20,-240688.595145,-240622.896198,-3.55176505011e+19,-240688.595109,-239574.72605,-2.48353721942e+19,-240688.595139,-240211.826295,-8.96516720336e+18,-240688.595124,-240156.124706,-1.60777081519e+19,-240688.595148,-240459.986281,-1.94692920465e+19,-240688.595122,-239831.926968,-2.26206184995e+19,-240688.595135,-239900.413044,-1.05463278206e+19,-240688.595114,-239749.218179,-2.35230196702e+19,-240688.595151,-240544.933956,-1.24913681891e+19,-240688.595103,-239496.199073,-2.40817939037e+19,-240688.595136,-239846.699722,-4.63215334078e+18,-240688.595071,-239090.155567,-9.60563325944e+18,-240688.595152,-240576.78438,-2.58474458288e+19,-240688.595117,-240071.480258,-2.56297033103e+19,-240688.595106,-238137.86849,-9.39534542918e+18,-240688.595112,-239544.598282,-2.50768983386e+19,-240688.595154,-240642.778154,-9.6787229341e+19,-240688.595131,-240201.139599,-2.45092852297e+19,-240688.595015,-231444.740923,-1.29149618614e+19,-240688.595139,-240331.908946,-2.24252171422e+19,-240688.59515,-240629.570556,-1.76796008559e+20,-240688.595139,-240114.575508,-1.36728800489e+19,-240688.594823,-227266.007106,-3.52060694794e+18,-240688.595112,-240512.276869,-6.6113886902e+19,-240688.595143,-240599.333765,-1.12292955844e+20,-240688.595093,-237611.799944,-1.03994494557e+19,-240688.594987,-230085.48254,-9.89144400279e+18,-240688.59515,-240638.294506,-1.28174523078e+20,-240688.595143,-240576.696321,-7.34201280435e+19,-240688.595016,-231865.940869,-7.29586059074e+18,-240688.595094,-238160.698966,-1.79632370844e+19,-240688.595153
3,-13742949100.6,-240682.441503,-2.27390398382e+19,-240688.595101,-240224.981898,-1.61593826352e+19,-240688.595147,-240492.398679,-1.64648617558e+19,-240688.595122,-240152.197867,-2.26639717711e+19,-240688.595142,-240265.473693,-1.01654550629e+19,-240688.595123,-240061.335908,-2.7051858862e+19,-240688.59515,-240583.351868,-1.81173434543e+19,-240688.595132,-240491.571506,-4.64928598426e+19,-240688.59515,-240574.725459,-1.164983981e+19,-240688.595089,-239720.350046,-2.08490051788e+19,-240688.595149,-240519.192626,-1.1303266174e+19,-240688.595101,-240168.726288,-1.22947685965e+19,-240688.595144,-240333.35068,-1.11487819774e+19,-240688.595106,-239772.701842,-1.85577504571e+19,-240688.595148,-240441.924643,-9.69265566968e+18,-240688.595105,-239835.45284,-2.44646809201e+19,-240688.595146,-240323.608653,-5.11312496376e+18,-240688.595067,-238902.21619,-8.60519579133e+18,-240688.595149,-240454.450803,-1.42995347857e+19,-240688.595119,-240241.498059,-2.35675417935e+19,-240688.595139,-240026.060434,-6.68230685356e+18,-240688.595072,-237892.757409,-1.32912195513e+19,-240688.595152,-240574.277326,-2.3934589384e+19,-240688.595125,-240344.22506,-2.75551234695e+19,-240688.595115,-238791.27954,-1.08183905479e+19,-240688.595098,-238884.339579,-2.45825449574e+19,-240688.595154,-240645.784935,-9.61712794256e+19,-240688.595134,-240446.489168,-3.83666060029e+19,-240688.595075,-236106.986508,-1.09258208783e+19,-240688.595109,-239214.65566,-2.30962839065e+19,-240688.595154,-240658.32045,-1.992278905e+20,-240688.595143,-240490.810868,-3.22061300248e+19,-240688.594932,-225317.469951,-1.12666536966e+19,-240688.595129
4,-18173446382.3,-240682.774662,-5.75065873123e+19,-240688.595089,-240344.336884,-1.30111021455e+19,-240688.59512,-239691.892412,-1.30762996695e+19,-240688.595096,-239136.706359,-1.28460695547e+19,-240688.59515,-240535.988559,-1.85045314729e+19,-240688.595135,-240364.610575,-2.38169925316e+19,-240688.595119,-238921.09504,-1.14313383815e+19,-240688.595107,-238901.878278,-2.45656549285e+19,-240688.595153,-240626.044275,-6.34312858916e+19,-240688.595138,-240409.635575,-3.29239420277e+19,-240688.595057,-234914.561135,-1.23605197385e+19,-240688.595124,-239743.840725,-1.69233253797e+19,-240688.595152,-240636.946541,-1.34940290208e+20,-240688.595146,-240443.419322,-1.87858701714e+19,-240688.594895,-224445.413191,-7.95171587827e+18,-240688.595125,-240458.781337,-1.3820411287e+19,-240688.595118,-240232.245051,-1.72643702436e+19,-240688.59511,-238440.57061,-1.08948450349e+19,-240688.595107,-239103.303826,-1.90587318607e+19,-240688.595153,-240630.080161,-8.9520389299e+19,-240688.59514,-240451.120268,-3.55879451147e+19,-240688.59505,-234110.996639,-1.09857711453e+19,-240688.595124,-239694.481947,-1.77577423026e+19,-240688.595152,-240644.497306,-1.86898220334e+20,-240688.595148,-240525.769085,-2.42731910384e+19,-240688.594882,-224354.835346,-6.54285307876e+18,-240688.595124,-240376.322407,-1.073831428e+19,-240688.595122,-240379.897477,-2.02540624976e+19,-240688.595134,-239812.309862,-1.33492202339e+19,-240688.59508,-237937.077854,-1.56618105315e+19,-240688.595152,-240588.303239,-3.38665626511e+19,-240688.59513,-240347.843828,-3.23925710916e+19,-240688.595099,-237995.705281,-1.19777415923e+19,-240688.595105
5,-14758751069.4,-240679.024632,-1.12172716509e+20,-240688.595122,-240463.601912,-2.05033810858e+19,-240688.595102,-239000.712723,-2.30410356974e+19,-240688.595135,-240164.434303,-3.04809342061e+19,-240688.595151,-240622.154284,-7.21373213905e+19,-240688.595145,-240471.414698,-2.20252677702e+19,-240688.595075,-237007.758855,-1.78651259695e+19,-240688.59514,-240283.197599,-1.54600467453e+19,-240688.595144,-240525.427748,-4.06988745075e+19,-240688.595142,-240260.898279,-1.28226806674e+19,-240688.595053,-234952.655605,-1.32101838116e+19,-240688.59515,-240531.41681,-2.4871212503e+19,-240688.595132,-240456.776104,-4.00101223862e+19,-240688.59512,-239175.593947,-1.14738988367e+19,-240688.595057,-236242.899515,-1.63983212362e+19,-240688.595153,-240641.351672,-1.09896803916e+20,-240688.595136,-240510.621777,-5.1393005852e+19,-240688.595027,-232370.925833,-8.9030798688e+18,-240688.595104,-238829.365015,-1.63911315688e+19,-240688.595153,-240659.446153,-2.78685460841e+20,-240688.595149,-240585.840108,-4.73276159564e+19,-240688.594895,-224562.811052,-8.7486397376e+18,-240688.595122,-240167.935397,-6.33890843048e+18,-240688.595125,-240437.636107,-2.44473143235e+19,-240688.595147,-240377.813663,-1.40555197449e+19,-240688.595046,-236006.02769,-9.9974489907e+18,-240688.595147,-240435.100931,-1.71554847216e+19,-240688.595125,-240325.218567,-2.65065724892e+19,-240688.595131,-239735.286488,-1.28615155391e+19,-240688.595084,-238121.901836,-1.95083599532e+19,-240688.595152,-240601.358448,-3.5518799753e+19,-240688.595128,-240368.598545,-3.51216721344e+19,-240688.595103,-238213.380259,-8.95089366397e+18,-240688.595086
6,-18124665489.9,-240680.161347,-8.51124895201e+19,-240688.595118,-240459.036693,-1.82204812013e+19,-240688.59511,-238715.691859,-2.1653914918e+19,-240688.595124,-239575.762987,-1.71509535871e+19,-240688.595147,-240514.547246,-3.43616721722e+19,-240688.59514,-240290.34199,-1.95606812961e+19,-240688.595102,-238042.986886,-1.26285927281e+19,-240688.595144,-240321.914089,-2.2205952724e+19,-240688.595147,-240555.761477,-4.24940953954e+19,-240688.595137,-240046.342631,-1.33910818126e+19,-240688.595044,-234494.974122,-1.74696989503e+19,-240688.59515,-240579.176999,-4.23392337854e+19,-240688.595135,-240457.889601,-3.87035898256e+19,-240688.595089,-237155.265746,-7.6159030625e+18,-240688.595081,-237469.076685,-1.34941112543e+19,-240688.595153,-240651.209262,-2.31310428621e+20,-240688.595143,-240544.540178,-4.80452554807e+19,-240688.594938,-225321.7175,-4.21156414268e+18,-240688.595105,-239760.005501,-1.83203382391e+19,-240688.595148,-240618.681826,-1.29443287912e+20,-240688.595149,-240497.889162,-1.9345967769e+19,-240688.59486,-227101.025292,-3.89470431981e+18,-240688.595108,-240194.571847,-2.12305104162e+19,-240688.595138,-240604.530354,-2.09369583174e+20,-240688.595152,-240609.176393,-5.38031653861e+19,-240688.59504,-236164.621571,-1.31596126727e+19,-240688.59514,-240205.074934,-1.36286128054e+19,-240688.595127,-240550.445402,-6.37920998375e+19,-240688.595152,-240628.93808,-5.42638650645e+19,-240688.595061,-237862.916679,-1.7169675037e+19,-240688.595119,-239222.256007,-1.01690075962e+19,-240688.595114,-239948.325713,-1.95108722477e+19,-240688.595152,-240580.933942,-3.17327675891e+19,-240688.59511
7,-15755859527.3,-240681.270133,-8.08364658614e+19,-240688.595113,-240528.508056,-6.45800184864e+19,-240688.595152,-240643.990646,-1.36437356355e+20,-240688.595115,-239817.138213,-1.74659460066e+19,-240688.595103,-238782.903616,-1.55962637733e+19,-240688.595145,-240531.308086,-3.67445506259e+19,-240688.595152,-240628.799546,-8.22990414565e+19,-240688.595121,-239288.43066,-1.86143981566e+19,-240688.595085,-236538.129352,-1.71792694016e+19,-240688.59515,-240575.410857,-4.37897393823e+19,-240688.59515,-240600.826177,-6.62380764592e+19,-240688.595092,-237326.814666,-1.30984638252e+19,-240688.595084,-236925.912734,-1.82966112248e+19,-240688.595152,-240638.75652,-1.19392578266e+20,-240688.59515,-240609.964537,-7.57096650848e+19,-240688.594993,-228975.288091,-1.40135000953e+19,-240688.595119,-239418.611333,-6.68774344458e+18,-240688.595137,-240497.889211,-3.81602590463e+19,-240688.595151,-240559.235042,-2.47601470996e+19,-240688.59504,-234455.835972,-1.42440255824e+19,-240688.595137,-240011.811318,-1.17508937014e+19,-240688.595119,-240322.781035,-2.18861125552e+19,-240688.595148,-240436.205166,-1.3339286442e+19,-240688.595067,-237464.441131,-1.45198663564e+19,-240688.595145,-240319.065312,-9.70909717195e+18,-240688.595113,-240077.628932,-1.88104762111e+19,-240688.595143,-240226.401478,-9.73245526422e+18,-240688.595077,-238351.489799,-2.07946599522e+19,-240688.59515,-240498.299269,-1.07748647484e+19,-240688.595096,-239800.830303,-1.83480322935e+19,-240688.595135,-239857.14651,-9.55055397828e+18,-240688.595085,-239223.176976,-1.8016204004e+19,-240688.595152,-240568.331375,-1.98706646093e+19,-240688.595116
8,-14074388235.3,-240682.925746,-2.68333188732e+19,-240688.595091,-240422.347104,-1.56450706517e+19,-240688.595149,-240535.09882,-2.94611036052e+19,-240688.595095,-238728.170252,-2.18749069241e+19,-240688.595132,-239771.752153,-7.27091710379e+18,-240688.595129,-240399.244524,-2.86552329314e+19,-240688.595152,-240574.325777,-2.87156884734e+19,-240688.595084,-237921.568352,-1.9980727601e+19,-240688.595132,-239723.948484,-9.00844503492e+18,-240688.595117,-240285.985278,-2.40254980292e+19,-240688.595152,-240582.523801,-2.24273522534e+19,-240688.595083,-238103.579198,-1.81166634084e+19,-240688.595131,-239568.700725,-7.64556799799e+18,-240688.595112,-240210.651485,-1.89528813394e+19,-240688.595152,-240586.419256,-2.25425118306e+19,-240688.595088,-238457.907423,-2.27435722413e+19,-240688.595127,-239490.379822,-6.32701542685e+18,-240688.595105,-239986.110885,-1.58178881509e+19,-240688.595153,-240602.443453,-3.37141056258e+19,-240688.595108,-239553.287806,-2.88478004049e+19,-240688.595111,-238636.826851,-7.55898860724e+18,-240688.595107,-239652.979137,-2.11739119505e+19,-240688.595153,-240633.136553,-7.8117211645e+19,-240688.595125,-240102.827107,-2.35615400347e+19,-240688.595031,-233053.649936,-1.31804989923e+19,-240688.595138,-240351.711481,-2.49603608034e+19,-240688.595151,-240636.755566,-1.8158839193e+20,-240688.595135,-240031.811172,-1.44730130196e+19,-240688.594845,-224462.574143,-5.51584802408e+18,-240688.595123,-240562.387426,-9.14984507556e+19,-240688.59514,-240563.477019,-7.00775273474e+19,-240688.595034,-233117.120682,-6.23972590326e+18,-240688.59508,-237131.585241,-1.45496995502e+19,-240688.595153
9,-24950119069.2,-240683.483484,-3.99021771983e+19,-240688.595079,-239604.196435,-6.73412369785e+18,-240688.595125,-239944.432584,-2.36040974622e+19,-240688.59514,-240416.463116,-3.21292703067e+19,-240688.595146,-240442.506679,-1.83552477042e+19,-240688.595113,-239661.234704,-1.6754495144e+19,-240688.595143,-240318.119871,-1.0047645964e+19,-240688.595133,-240333.61581,-2.99862156525e+19,-240688.595148,-240457.21353,-6.28389888418e+18,-240688.595059,-236533.422379,-9.88528285986e+18,-240688.595146,-240388.557713,-1.39432275343e+19,-240688.595126,-240329.954924,-2.18977214563e+19,-240688.595137,-239952.869784,-1.19289604053e+19,-240688.595084,-238105.440192,-1.93478173011e+19,-240688.595152,-240585.293368,-2.64679960263e+19,-240688.595123,-240296.408823,-2.86219135204e+19,-240688.595102,-237835.978952,-1.12399534614e+19,-240688.595105,-239030.738283,-2.09712479856e+19,-240688.595154,-240649.474906,-1.20418783518e+20,-240688.595139,-240426.988967,-3.19656068443e+19,-240688.595005,-230051.142899,-1.4386059925e+19,-240688.595134,-240162.576293,-1.39893206263e+19,-240688.595148,-240620.446785,-1.34159281147e+20,-240688.595146,-240380.260247,-1.01511407261e+19,-240688.594729,-258686.608506,-9.21200246147e+17,-240688.59497,-240167.512833,-1.1400823761e+19,-240688.595145,-240622.022073,-1.89152781693e+20,-240688.595148,-240483.445895,-1.56455157705e+19,-240688.59482,-228756.43573,-1.2017834012e+18,-240688.595049,-239819.663962,-9.078163729e+18,-240688.595144,-240628.212498,-3.41604558585e+20,-240688.595153,-240645.160631,-1.15276722446e+20,-240688.595079,-238820.416708,-2.15610333532e+19,-240688.595142
